Phone3Name,PhoneNumberBusinessLine,TemporaryMessage,MailingAttentionName,LastVerifiedByPhoneNumber,ExcludeFromWebsite,RecordOwner,OfficialName,PhysicalPostalCode,MadeInactiveOn,CapacityType,Longitude,PreferredProvider,LastVerificationApprovedBy,SeniorWorkerName,AvailableForDirectory,PhysicalStateProvince,SeniorWorkerPhoneNumber,AnnualBudgetTotal,OtherCity,MailingAddress1,MailingAddress2,OtherPostalCode,PhoneFax,PhoneNumberOutOfArea,ParentAgency,MainContactEmailAddress,TaxonomyTerms,Latitude,OtherStateProvince,ConnectsToSiteNum,PhysicalLocationDescription,ParentAgencyNum,DocumentsRequired,YearIncorporated,FEIN,Hours,Match Type,TaxonomyTermsNotDeactivated,TaxonomyTerm,BusServiceAccess,LegalStatus,Categories,Phone4Number,ApplicationProcess,TaxonomyCodes,UpdatedOn,MailingCountry,990 Name,PhysicalCountry,AlternateName,Phone1Number,LastVerifiedByEmailAddress,Phone5Number,Phone3Number,AgencyStatus,InternalNotesForEditorsAndViewers,MainContactName,PhysicalAddress2,PhysicalAddress1,InternalNotes,AgencyDescription,HoursOfOperation,MailingPostalCode,TaxonomyLevelName,ResourceAgencyNum,LastVerifiedByName,Phone2Name,HighlightedResource,AvailableForReferral,DisabilitiesAccess,PublicName,SeniorWorkerTitle,ResourceInfo,Coverage,LastVerifiedByTitle,ServiceNotAlwaysAvailability,ExcludeFromDirectory,OtherCountry,IRSStatus,EmailAddressMain,TemporaryMessageAppears,SeniorWorkerEmailAddress,PhysicalCity,MainContactType,ConnectsToProgramNum,PhoneTollFree,PhoneTTY,AgencyClassification,FeeStructureSource,OtherCounty,Phone4Name,EnteredOn,SearchHints,EIN,Phone2Number,PhoneNumberHotline,CoverageArea,TemporaryMessageExpires,MailingStateProvince,WebsiteAddress,PhysicalCounty,Phone5Description,PublicAccessTransportation,AvailableForResearch,OtherAddress2,OtherAddress1,LastVerifiedOn,MailingCity,MainContactPhoneNumber,ServiceCapacity,MainContactTitle,LanguagesOffered,LicenseAccreditation,Phone1Name,CoverageAreaText,SourceOfFunds,PhoneNumberAfterHours,Eligibility
,,,Centronia Community Technology Center,,No,DCAP,,20009,,,-77.017972,FALSE,Zina Anderson,Myrna Peralta,,DC,,,,1420 Columbia Road Nw,,,(202) 745-2562,,CentroNia,,,38.908569,-1,,,372153,,,,Mon; Tue; Wed; Thu; Fri; Sat; Sun; ,Beginning,,,Transportation Available: 2                      ,,Education General; Training General; Education-Early Childhood; After School Programs; Leisure-Youth; Computer Training; Volunteer Opportunities; Training-Computer;,,"Telephone, By Appointment, Walk-In",,,United States,Zuckerman Foundation for Educational Excellence at Stanton,United States,,(202) 332-4200,,,,Inactive,,,,"1420 Columbia Road, NW",,"CentroNas nationally accredited after school program, Studio ROCKS (Reading, Outdoors, Knowledge, Self-Discover) was implemented in 1990 and currently serves 300 children. Studio ROCKS is a multi-disciplinary before and after program that weaves together ","7:00 am - 6:00 pm, Monday - Friday",20009,Program,373463,,,FALSE,,NW                     ,,Chief Executive Officer,,MD - Adams Morgan / Mount Pleasant County; ,,,No,-1,,info@centronia.org,2/22/11 0:00,,Washington,,,,,,"Sliding scale, $0.00 - $120.00                                                                                                ",,,,373463,454100416,,,District of Columbia,2/22/12 0:00,DC,http://www.centronia.org,-1,,,,,,5/8/12 8:45,Washington,,,,"English, Spanish",,Main Number,,,,Must be between ages  5 - 14
,,,11Th Wing Family Support Center - Air Force C,,No,DCAP,,20032,,,-77.000212,FALSE,Awilda Ortiz,,,DC,,,,Bolling Air Force Base,118 Brookley Avenue,,(202) 767-9213,,"11th Wing Family Support, Bolling Air Force Base",,Individual and Family Life; Organizational/Community/International Services - Military Service - Military Family Service/Support Centers * Military Family Service/Support Centers; Target Populations - Military Personnel/Contractors - Active Military; Targ,38.835705,DC,,,371920,,,,,,Individual and Family Life; Organizational/Community/International Services - Military Service - Military Family Service/Support Centers * Military Family Service/Support Centers; Target Populations - Military Personnel/Contractors - Active Military; Targ,Individual and Family Life; Military Family Service/Support Centers; Active Military; Families of Military Personnel/Veterans; Families of Retired Military Personnel; ,Transportation Available: 2                      ,None or unknown,"Military; Employment-Search, Placement; Employment-Career Counseling; Employment General;",,"Telephone, Walk-In",P; TM-5100 * TM-5100; YN-0500; YJ-2050; YJ-2050.2070,12/3/11 14:36,United States,,United States,,(202) 767-0450,,,,Active,,,118 Brookley Avenue,Bolling Air Force Base,  ,"Provides assistance to military family members, active duty and retirees in securing employment.<br /><br />Home visits: Downtown               ","7:30 am - 4:00 pm, Monday - Friday",20032,Program,372566,sf,,FALSE,,NW                     ,11th Wing Family Support Center - Air Force Career Focus,,,MD - Military Installations County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,6/16/99 0:00,372566,,,,,,DC,,District Of Columbia,,,,,,12/3/11 0:00,Washington,,,,,,Intake Number,,,,Active and retired military and their families.
,,,11Th Wing Family Support Center - Air Force F,,No,DCAP,,20032,,,-77.000212,FALSE,Awilda Ortiz,,,DC,,,,Bolling Air Force Base,118 Brookley Avenue Suite 100,,(202) 767-9213,,"11th Wing Family Support, Bolling Air Force Base",,Target Populations - Families and Individuals Needing Support - Families of Military Personnel/Veterans - Families of Veterans; Target Populations - Families and Individuals Needing Support - Families of Military Personnel/Veterans * Families of Veterans,38.835705,DC,,,371920,,,,,,Target Populations - Families and Individuals Needing Support - Families of Military Personnel/Veterans - Families of Veterans; Target Populations - Families and Individuals Needing Support - Families of Military Personnel/Veterans * Families of Veterans,Families of Veterans; Families of Military Personnel/Veterans; ,,None or unknown,Military; Parenting-Skills; Anger Management; Stress Management; Training General; Parenting General;,,"Telephone, Walk-In",YJ-2050.2090; YJ-2050 * YJ-2050.2090 * YJ-2050,11/1/11 15:20,United States,,United States,,(202) 767-0450,,,,Active,,,118 Brookley Avenue Suite 100,Bolling Air Force Base,,"Provides training to enhance development of life skills.  Workshops include: parenting, stress and anger management, conflict resolution, and couples communication.","7:30 am - 4:00 pm, Monday - Friday",20032,Program,372568,,,FALSE,,,11th Wing Family Support Center - Air Force Family Life Education,,,MD - Military Installations County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,6/16/99 0:00,372568,,,,,,DC,,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,,,Intake Number,,,,"Active military and their families, military retirees and Dept. of Defense civilians."
,,,11Th Wing Family Support Center - Air Force F,,No,DCAP,,20032,,,-77.000212,FALSE,Awilda Ortiz,,,DC,,,,Bolling Air Force Base,118 Brookley Avenue Suite 100,,(202) 767-9213,,"11th Wing Family Support, Bolling Air Force Base",,Consumer Services - Money Management,38.835705,,,,371920,,,,,,Consumer Services - Money Management,Money Management; ,,None or unknown,Education General; Education-Adult General; Military; Budgeting Assistance;,,"By Appointment, Walk-In for emergency assistance",DM,8/17/11 13:08,United States,,United States,,(202) 767-0450,,,,Active,,,118 Brookley Avenue Suite 100,Bolling Air Force Base,,"Provides a variety of financial management services: individual/family counseling, pro-active educational workshops, and Air Force Aid Society assistance.","7:30 am - 4:00 pm, Monday - Friday",20032,Program,372561,,,FALSE,,,11th Wing Family Support Center - Air Force Financial Management,,,MD - Military Installations County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,6/16/99 0:00,372561,,,,,,DC,,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,,,Intake number,,,,Active military and their families
,,,11Th Wing Family Support Center - Air Force I,,No,DCAP,,20032,,,-77.000212,FALSE,Awilda Ortiz,,,DC,,,,Bolling Air Force Base,118 Brookley Avenue Suite 100,,(202) 767-9213,,"11th Wing Family Support, Bolling Air Force Base",,Target Populations - Families and Individuals Needing Support - Families of Military Personnel/Veterans * Families of Military Personnel/Veterans,38.835705,DC,,,371920,,,,,,Target Populations - Families and Individuals Needing Support - Families of Military Personnel/Veterans * Families of Military Personnel/Veterans,Families of Military Personnel/Veterans; ,,None or unknown,Military; Information & Referral;,,"Telephone, Walk-In",YJ-2050 * YJ-2050,11/1/11 15:29,United States,,United States,,(202) 767-0450,,,,Active,,,118 Brookley Avenue Suite 100,Bolling Air Force Base,,Provides information and referral for the full range of social service and human service issues.  Refers to sources both on and off the installation.,"7:30 am - 4:00 pm, Monday - Friday",20032,Program,372571,,,FALSE,,,11th Wing Family Support Center - Air Force Information Referral,,,MD - Military Installations County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,6/16/99 0:00,372571,,,,,,DC,,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,,,Intake Number,,,,"Active military, veterans, Dept. of Defense civilians, and their families."
,,,11Th Wing Family Support Center - Air Force R,,No,DCAP,,20032,,,-77.000212,FALSE,Awilda Ortiz,,,DC,,,,Bolling Air Force Base,118 Brookley Avenue Suite 100,,(202) 767-9213,,"11th Wing Family Support, Bolling Air Force Base",,Basic Needs - Housing/Shelter - Housing Search and Information - Relocation Assistance - Relocation Services * Relocation Services; Target Populations - Families and Individuals Needing Support - Families of Military Personnel/Veterans - Families of Activ,38.835705,DC,,,371920,,,,,,Basic Needs - Housing/Shelter - Housing Search and Information - Relocation Assistance - Relocation Services * Relocation Services; Target Populations - Families and Individuals Needing Support - Families of Military Personnel/Veterans - Families of Activ,Relocation Services; Families of Active Military Personnel; ,,None or unknown,Military; Housing-Relocation Assistance; Housing*;,,"Telephone, Walk-In",BH-3900.7000-780 * BH-3900.7000-780; YJ-2050.2030,11/1/11 15:39,United States,,United States,,(202) 767-0450,,,,Active,,,118 Brookley Avenue Suite 100,Bolling Air Force Base,,"Provides assistance to military moving in and out of the Washington, DC area.","7:30 am - 4:00 pm, Monday - Friday",20032,Program,372572,,,FALSE,,,11th Wing Family Support Center - Air Force Relocation Assistance,,,MD - Military Installations County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,6/16/99 0:00,372572,,,,,,DC,,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,,,Intake Number,,,,Active military and their families.
,,,11Th Wing Family Support Center - Air Force T,,No,DCAP,,20032,,,-77.000212,FALSE,Awilda Ortiz,,,DC,,,,Bolling Air Force Base,118 Brookley Avenue Suite 100,,(202) 767-9213,,"11th Wing Family Support, Bolling Air Force Base",,Organizational/Community/International Services - Military Service - Military Transition Assistance Programs * Military Transition Assistance Programs,38.835705,DC,,,371920,,,,,,Organizational/Community/International Services - Military Service - Military Transition Assistance Programs * Military Transition Assistance Programs,Military Transition Assistance Programs; ,,None or unknown,Military;,,By Appointment,TM-5200 * TM-5200,11/2/11 16:03,United States,,United States,,(202) 767-0450,,,,Active,,,118 Brookley Avenue Suite 100,Bolling Air Force Base,,Provides assistance to military members and civilians separating from government service.,"7:30 am - 4:00 pm, Monday - Friday",20032,Program,372579,,,FALSE,,,11th Wing Family Support Center - Air Force Transition Assistance,,,MD - Military Installations County; ,,,No,United States,None or unknown,,,,Washington,,,,,,No fee                                                                                                                        ,,,6/16/99 0:00,372579,,,,,,DC,,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,,,Intake Number,,,,Active military
,,,Bolling A. F. Career Focus11th Wing Family,,No,DCAP,,20332,,,,FALSE,Awilda Ortiz,             ,,DC,,,,Bolliing Air Force Base,118 Brookley Ave Suite 100,,(202) 767-9213,,"11th Wing Family Support, Bolling Air Force Base",,Individual and Family Life; Organizational/Community/International Services,,DC,,,0,,,,Tue 8:00 - 5:00; ,Character Exact,Individual and Family Life; Organizational/Community/International Services,Individual and Family Life; Organizational/Community/International Services; ,,None or unknown,,,,P; T,8/17/11 13:08,United States,"11th Wing Family Support, Bolling Air Force Base",United States,,(202) 767-0450,,,,Active,,,"118 Brookley Avenue, Suite 100",Bolling Air Force Base,"Provides comprehensive social services to military members, retirees, US Department of Defense civilians and their families.",,"8:00 am - 5 :00 pm, Monday - Friday                                                                                                         ",20332,Agency,371920,,,FALSE,,,"11th Wing Family Support, Bolling Air Force Base",                       ,,,,,No,United States,None or unknown,,,,Washington,,,,,,,,,6/16/99 0:00,371920,-,,,,,DC,http://www.cnic.navy.mil/ndw/,District Of Columbia,,,,,,8/17/11 0:00,Washington,,,,,,Business Number                         ,,,,
,,,,703-516-6768,No,,,,,,,FALSE,Zina Anderson,,,DC,,,,"100 S Charles Street, #500",,,,,2-1-1 Maryland,211Maryland@gmail.com,Organizational/Community/International Services - Information Services - Information and Referral - Comprehensive Information and Referral; Organizational/Community/International Services - Information Services - Information and Referral - Comprehensive I,,MD,,,0,,,,Mon 24/7; Tue 24/7; Wed 24/7; Thu 24/7; Fri 24/7; Sat 24/7; Sun 24/7; ,Character Exact,Organizational/Community/International Services - Information Services - Information and Referral - Comprehensive Information and Referral; Organizational/Community/International Services - Information Services - Information and Referral - Comprehensive I,Comprehensive Information and Referral; Comprehensive Information and Referral; Information and Referral; ,,None or unknown,Information & Referral; Information & Referral; Information Lines; Information Lines;,,Telephone service only,TJ-3000.1500; TJ-3000.1500; TJ-3000,,United States,2-1-1 Maryland,United States,"211 Maryland, Maryland 211",,marshall@crisislink.org,,,Active,,Tom Page,,,,"2-1-1 Maryland provides a link to community health and human service resources statewide 24 hours a day, 7 days a week, in over 150 languages.",,21203,Agency,1110244,Marshall,,FALSE,,,2-1-1 Maryland,,,MD; ,,,No,United States,None or unknown,211Maryland@gmail.com,,,,,,,,,Free,,,2/15/11 7:53,1110244,-,,211,,,MD,http://www.211MD.org,-1,,,,,,2/22/12 10:17,Baltimore,410-864-8043,,Executive Director,over 150 languages,,,,,,None
,,,,703-516-6768,No,,,,,,,FALSE,Zina Anderson,,,MD,,,,"100 S Charles Street, #500",,,,,2-1-1 Maryland,211Maryland@gmail.com,Organizational/Community/International Services - Information Services - Information and Referral - Comprehensive Information and Referral; Organizational/Community/International Services - Information Services - Information and Referral - Comprehensive I,,DC,,,1110244,,,,Mon 24/7; Tue 24/7; Wed 24/7; Thu 24/7; Fri 24/7; Sat 24/7; Sun 24/7; ,Character Exact,Organizational/Community/International Services - Information Services - Information and Referral - Comprehensive Information and Referral; Organizational/Community/International Services - Information Services - Information and Referral - Comprehensive I,Comprehensive Information and Referral; Comprehensive Information and Referral; Comprehensive Information and Referral; Information and Referral; ,,None or unknown,Information & Referral; Information & Referral; Information Lines; Information Lines;,,Telephone service and searchable online database.,TJ-3000.1500; TJ-3000.1500; TJ-3000.1500; TJ-3000,,United States,2-1-1 Maryland,United States,"211 Maryland, Maryland 211, Maryland Information Network 211",,marshall@crisislink.org,,,Active,,Tom Page,,,," <br />		<div> <br />				<table> <br />						<tbody> <br />								<tr> <br />										<td>2-1-1 Maryland provides a link to community health and human service resources statewide 24 hours a day, 7 days a week, in over 150 languages.</td> <br />								<",,21203,Program,1110245,Marshall,,FALSE,,,2-1-1 Maryland,,,MD; ,,,No,United States,None or unknown,211Maryland@gmail.com,,,,,,,,,Free,,,2/15/11 7:58,1110245,-,,211,,,MD,http://www.icarol.info/PublicResourceDirectoryFrm.aspx?org=2046,-1,,,,,,2/22/12 10:16,Baltimore,410-864-8043,,Executive Director,Over 150 languages.,,,,,,None
