id,name,ein,address,city,state,zip5,website,phone
119976,Prevention of Blindness Society of Metropolitan Washington,-,"1775 Church St., NW",Washington,District of Columbia,20036,http://www.youreyes.org,1-202-234-1010
127592,"""I Am the Difference""Program Website/DC Department of Mental Health",-,"821 Howard Rd., Room 209",Washington,District of Columbia,20032,Http://Www.Iamthedifferencedc.Org,(202) 698-2470
0,100 Black Men of Greater Washington DC Inc,521998131,455 Massachusetts Ave NW,Washington,District of Columbia,20001,-,-
0,100 Percent Recycled Paperboard Alliance Inc,521944192,1156 15th St NW Ste 1020,Washington,District of Columbia,20005,-,-
127593,10th Street Baptist (Share Site),-,1000 R St.,Washington,District of Columbia,20001,-,-
0,116 Inc,520742077,234 3rd St NE,Washington,District of Columbia,20002,-,-
127594,"11th Wing Family Support, Bolling Air Force Base",-,"Bolling Air Force Base 118 Brookley Avenue, Suite 100",Washington,District of Columbia,-,Http://Www.Cnic.Navy.Mil/Ndw/,(202) 767-0450
127595,13th Street Community Garden,-,13th St. and C St.,Washington,District of Columbia,20003,-,-
0,13th Street Community Park and Garden Inc,261116108,216 11th St SE,Washington,District of Columbia,20003,-,-
0,14th Street Uptown Business Association,271707470,4700b-14th St NW,Washington,District of Columbia,20011,-,-
0,1789 Fund,204694874,1909 K St NW FL 9,Washington,District of Columbia,20006,-,-
0,1800 Massachusetts Avenue Corp,200451177,1800 Massachusetts Avenue NW,Washington,District of Columbia,20036,-,-
0,18th Street Singers,208453518,2480 16th St NW Apt 802,Washington,District of Columbia,20009,-,-
0,1992 Benefit Plan Retiree Health Benefits Reserve Trust,223462890,2121 K Street NW,Washington,District of Columbia,20037,-,-
129071,19th Street Baptist Church,-,4606 16th Street,Washington,District of Columbia,20011,Http://Everyblessing.Org/,(202) 829-2773
127596,1st Call for Help (MD),-,-,Washington,District of Columbia,-,-,(800) 492-0618
127597,2-1-1 Maryland,-,-,-,District of Columbia,-,Http://Www.211md.Org,-
0,2013 Holdings Inc,272882469,1808 Eye Street NW,Washington,District of Columbia,20006,-,-
0,21st Century School Fund Inc,522139122,1816 12th St NW,Washington,District of Columbia,20009,-,-
0,2811 Fourteenth Street N E Gospel Hall Inc,526056661,6912 Westmoreland Avenue,Washington,District of Columbia,20012,-,-
0,350 Org,261150699,1850 M St NW Ste 1100,Washington,District of Columbia,20036,-,-
0,350 Org Action Fund,261181604,1850 M St NW Ste 1100,Washington,District of Columbia,20036,-,-
0,501ctech Inc,510400233,2001 S St NW Ste 630,Washington,District of Columbia,20009,-,-
0,501seats,270933151,1332 Belmont St NW Apt 1,Washington,District of Columbia,20009,-,-
